product_name,product_url,author,date,rating,text
"Laptop Business ASUS ExpertBook B3, B3402FVA-EC0800X , 14.0-inch, FHD (1920 x 1080) 16:9, Intel® Core™ i5-1335U (pana la 4.6GHz), Intel Iris Xᵉ Graphics, 1x M.2 2280 PCIe 4.0x4, DDR4 16GB, 256GB M.2",https://www.flanco.ro/laptop-business-asus-expertbook-b3-b3402fva-ec0800x-14-0-inch-fhd-1920-x-1080-16-9-intelr-coretm-i5-1335u-pana-la-4-6ghz-intel-iris-x-graphics-1x-m-2-2280-pcie-4-0x4-ddr4-16gb-256gb-m-2.html,Popa Victor,09.04.2025,5,"Laptopul ASUS ExpertBook B3 este rapid, usor de utilizat si perfect pentru un mediu de business. Se descurca excelent la multitasking si sarcini mai complexe. Ecranul este vibrant, iar designul este compact si elegant. Bateria are o autonomie buna, iar sistemul de operare este fluid. Recomand cu incredere acest laptop"
"Telefon mobil Apple iPhone 14 5G, 128GB, Midnight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-midnight.html,Annamaria Fodor,11.06.2023,5,"Un telefon foarte bun, sunt multumita din toate toate punctele de vedere. Chiar daca este aprope identic cu modelul de anul trecut, eu am trecut de la un IPhone 7plus asa ca pentru mine a meritat achizitia. Este foarte performant, camera extrem de buna si poze foarte calitativa. Bateria tine destul de mult iar sunetul este incredibil. In total sunt foarte multumita"
"Laptop Gaming ASUS TUF F16 FX607JV, Intel Core i7-13650HX, 16"", Full HD+, 16GB, 1TB SSD, NVIDIA GeForce RTX 4060, No OS, Mecha Gray",https://www.flanco.ro/laptop-gaming-asus-tuf-f16-fx607jv-intel-core-i7-13650hx-16-full-hd-16gb-1tb-ssd-nvidia-geforce-rtx-4060-no-os-mecha-gray.html,Cristi POPA,04.03.2025,5,"Pot sa spun ca e tot ce aveam nevoie si mai mult, am testat numeroase jocuri complexe, le duce pe setari high si mai ramane si o marja de eroare, ecranul super mare de 165hz are niste culori vivide, trebuie sa spun ca ventilatoarele isi fac treaba cu brio, temperaturile nu cresc momentan peste 800C, bineinteles cu asta vine clasica poluare fonica, zici ca e avion cand incepe sa se raceasca si ajung pana la 6000rpm, dar cu niste casti bune se poate ignora sunetul, sincer mai bine sa fie avion decat sa se supraincalzeasca. Un lucru ce m-a mirat, e foarte usor ca si greutate pentru ce specificatii are. 100 recomand"
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Adrian Encica,25.11.2023,5,Un telefon de calitate
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Simina,09.06.2023,1,"Un telefon foarte slab, bateria scade cu cate 1 procent la fiecare 3-5 min, camera slab calitativa, se misca greu, intra greu in aplicatii, se incalzeste repede ( nefolosit pt rularea unui film sau joc, doar utilizare normala) am un iphone 11 de 3 ani si este cu mult peste acest 14. Nu recomand sub nicio forma"
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Costinel,28.12.2022,4,Cred ca este alegerea perfecta din gama iPhone 2022. Performanta deosebita
"Telefon mobil Apple iPhone 14 5G, 128GB, Starlight",https://www.flanco.ro/telefon-mobil-apple-iphone-14-5g-128gb-starlight.html,Claudiu,27.09.2022,5,Este un telefon performant
"Laptop Asus Vivobook 15 X1502VA 15.6"", Procesor Intel Core i7-13620H, 16GB DDR4, 1TB SSD, Intel UHD, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-vivobook-15-x1502va-15-6-procesor-intel-core-i7-13620h-16gb-ddr4-1tb-ssd-intel-uhd-no-os-quiet-blue.html,Dorina Alexei,16.05.2025,5,"Pretul este unul foarte bun si laptopul este de calitate cu o configuratie foarte, foarte buna Recomand"
"Laptop gaming Lenovo IdeaPad 3 15ACH6, 15.6"", Full HD, AMD Ryzen 5 5500H, 8GB RAM, GeForce RTX 2050, 512GB SSD, No OS, Shadow Black",https://www.flanco.ro/laptop-gaming-lenovo-ideapad-3-15ach6-15-6-full-hd-amd-ryzen-5-5500h-8gb-ram-geforce-rtx-2050-512gb-ssd-no-os-shadow-black.html,Renata Ioana,06.11.2024,4,"Singurul minus este modul in care a ajuns...
Plin de praf, cateva zgarieturi
In rest e ok"
"Laptop gaming Lenovo IdeaPad 3 15ACH6, 15.6"", Full HD, AMD Ryzen 5 5500H, 8GB RAM, GeForce RTX 2050, 512GB SSD, No OS, Shadow Black",https://www.flanco.ro/laptop-gaming-lenovo-ideapad-3-15ach6-15-6-full-hd-amd-ryzen-5-5500h-8gb-ram-geforce-rtx-2050-512gb-ssd-no-os-shadow-black.html,Ene ianis,11.01.2024,5,"Este foarte bun eu vi-l recomand deoarece se misca foarte bine in jocuri de exemplu fortnite,cs2,roblox,gta5. Se merita sa dati banii pe acest laptop."
"Laptop gaming Asus TUF F15 FX507VU, 15.6"", Full HD, Intel Core i7-13620H, 16GB DDR5, 512GB SSD, GeForce RTX 4050, No OS, Gri",https://www.flanco.ro/laptop-gaming-asus-tuf-f15-fx507vu-15-6-full-hd-intel-core-i7-13620h-16gb-ddr5-512gb-ssd-geforce-rtx-4050-no-os-gri.html,Eva Rares,14.05.2024,5,"Genial, se misca foarte bine. Mult mai bun decat ma asteptam"
"Laptop ASUS Vivobook Go 15 E1504FA-BQ050, 15.6"", Full HD, AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, AMD Radeon Graphics, Free DOS, Culoare Negru",https://www.flanco.ro/laptop-asus-vivobook-go-15-e1504fa-bq050-15-6-full-hd-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-amd-radeon-graphics-free-dos-culoare-negru.html,Ghita Maria,27.07.2024,5,"Minunat, imi place foarte mult
Acest laptop este ceea ce am nevoie atat pentru munca cat si pentru acasa.
Il folosesc la office si la vizionat YouTube si filme online."
"Laptop ASUS Vivobook Go 15 E1504FA-BQ050, 15.6"", Full HD, AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, AMD Radeon Graphics, Free DOS, Culoare Negru",https://www.flanco.ro/laptop-asus-vivobook-go-15-e1504fa-bq050-15-6-full-hd-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-amd-radeon-graphics-free-dos-culoare-negru.html,Cristina Gheorghe,24.01.2024,5,"Este super laptopul iar pretul este unul foarte bun
Sunt foarte multumita de aceasta oferta"
"Laptop gaming Asus TUF A15 15.6"", FHD 144 Hz, AMD Rhyzen 7 7435HS, 16 GB DDR5, 1 TB SSD, NVIDIA Geforce RTX 4060, No OS",https://www.flanco.ro/laptop-gaming-asus-tuf-a15-15-6-fhd-144-hz-amd-rhyzen-7-7435hs-16-gb-ddr5-1-tb-ssd-nvidia-geforce-rtx-4060-no-os.html,Marius Putineanu,04.03.2025,5,"Un laptop excelent pentru gaming si alte programele ce solicita destul de mult alte decive-uri, iar raportul calitate-pret exceptional. Recomand"
"Laptop gaming Asus TUF A15 15.6"", FHD 144 Hz, AMD Rhyzen 7 7435HS, 16 GB DDR5, 1 TB SSD, NVIDIA Geforce RTX 4060, No OS",https://www.flanco.ro/laptop-gaming-asus-tuf-a15-15-6-fhd-144-hz-amd-rhyzen-7-7435hs-16-gb-ddr5-1-tb-ssd-nvidia-geforce-rtx-4060-no-os.html,PAUL,04.03.2025,5,"Raport calitate pret foarte bun , mi a depasit asteptarile , merge orice joc incerci pe el fara probleme la o calitate foarte buna. Recomand"
"Laptop gaming Asus TUF A15 15.6"", FHD 144 Hz, AMD Rhyzen 7 7435HS, 16 GB DDR5, 1 TB SSD, NVIDIA Geforce RTX 4060, No OS",https://www.flanco.ro/laptop-gaming-asus-tuf-a15-15-6-fhd-144-hz-amd-rhyzen-7-7435hs-16-gb-ddr5-1-tb-ssd-nvidia-geforce-rtx-4060-no-os.html,Horia,04.01.2025,5,"Un laptop ideal de gaming in raport cu pretul sau, perfomante excelente in FullHD cu fps-uri mari de pana la 200 in CS 2 , ETS2, Dota 2, are o racire buna , da scoate Bateria tine bine chiar si pe modul normal. Ecranul este luminos de calitate buna , se misca impecabil , tastatura este asezata perfect , tastele wasd transparente, sunete de click-uri foarte placute nici prea tari si nici prea incet cu reglaj intensitate lumina si culori. Difuzoarele si ele de calitate."
"Telefon Mobil Apple iPhone 15 Pro Max 5G, 256GB, Black Titanium",https://www.flanco.ro/telefon-mobil-apple-iphone-15-pro-max-5g-256gb-black-titanium.html,Maria Oprescu,11.09.2024,5,Produsul este ceea ce mi-am dorit iar livrarea ireprosabila. Multumesc
"Telefon Mobil Apple iPhone 15 Pro Max 5G, 256GB, Black Titanium",https://www.flanco.ro/telefon-mobil-apple-iphone-15-pro-max-5g-256gb-black-titanium.html,Emanuel-Cosmin Agache,21.12.2023,5,"Telefonul ca telefonul, insa ce trebuie neaparat mentionat este promptitudinea de care a dat dovada Flanco 100 recomand.

Spre deosebire de competitorii(a caror nume rimeaza cu Fnag) care mi-au tinut banii blocati in precomanda timp de 1 luna, Flanco a livrat in nici 2 zile din momentul plasarii comenzii. Multumesc"
"Telefon Mobil Apple iPhone 15 Pro Max 5G, 256GB, Black Titanium",https://www.flanco.ro/telefon-mobil-apple-iphone-15-pro-max-5g-256gb-black-titanium.html,Andrei Toma,12.12.2023,5,"Comanda plasata in data de 06.11, primita in 11.12, telefonul este ok, am facut upgrade-ul de la un samsung s10, diferentele sunt sesizabile."
"Telefon Mobil Apple iPhone 15 Pro Max 5G, 256GB, Black Titanium",https://www.flanco.ro/telefon-mobil-apple-iphone-15-pro-max-5g-256gb-black-titanium.html,Lucian,11.12.2023,5,"Despre telefon e clar ce stie sa faca. Felicitari Flanco pentru cat de rapida a fost livrarea. Comanda data pe 28.11 livrata pe 11.12, in conditiile in care la alti distribuitori exista comenzi din septembrie neonorate ."
"Telefon mobil Xiaomi 14T, 512 GB, 12 GB RAM, Dual SIM, Titan Black",https://www.flanco.ro/telefon-mobil-xiaomi-14t-512-gb-12-gb-ram-dual-sim-titan-black.html,Viorica Maria Petros,14.03.2025,1,"Am achizitionat telefonul dar este cu probleme. L-am trimis la ESD-ROM, dar a venit inapoi asa cum l-am trimis. Cablul nu mai sta bine in interiorul mufei de incarcare."
"Telefon mobil Xiaomi 14T, 512 GB, 12 GB RAM, Dual SIM, Titan Black",https://www.flanco.ro/telefon-mobil-xiaomi-14t-512-gb-12-gb-ram-dual-sim-titan-black.html,Ionut,29.11.2024,5,"Initial am mizat pe modelul 14T Pro insa, am ajuns la concluzia ca 14T e mai mult decat suficient pentru activitatile deservite de mine mail, cateva poze pe zi si apeluri de lunga durata.
Exista si un mic dezavantaj, incarcatorul nu mai este prezent in cutie dar se poate folosi cel vechi, de preferat minim 20-30W."
"Telefon mobil Redmi Note 13 Pro, 256GB, 8GB RAM, Dual SIM, Lavender Purple",https://www.flanco.ro/telefon-mobil-redmi-note-13-pro-256gb-8gb-ram-dual-sim-lavender-purple.html,Beniamin Vale,02.12.2024,5,"Foarte bun si ca pret si telefonul,sunt multumit de el."
"Laptop ASUS Vivobook 14 F1404VA-EB592W, Intel Core i5-1335U, 16inch, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Windows 11 Pro, Berry Pink",https://www.flanco.ro/laptop-asus-vivobook-14-f1404va-eb592w-intel-core-i5-1335u-16inch-ram-16gb-ssd-512gb-intel-iris-xe-graphics-windows-11-pro-berry-pink.html,Iancu Daniel,26.05.2025,5,"Ca programator, am nevoie de un laptop care sa gestioneze fara efort mai multe programe deschise simultan. Acesta se descurca excelent, iar autonomia buna ma ajuta sa lucrez fara grija perioadelor lungi. Tastatura este confortabila, iar sistemul de operare optimizat aduce o experienta fluida si eficienta."
"Laptop ASUS Vivobook 14 F1404VA-EB592W, Intel Core i5-1335U, 16inch, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Windows 11 Pro, Berry Pink",https://www.flanco.ro/laptop-asus-vivobook-14-f1404va-eb592w-intel-core-i5-1335u-16inch-ram-16gb-ssd-512gb-intel-iris-xe-graphics-windows-11-pro-berry-pink.html,Vitican Marilena,18.05.2025,5,"Foarte multumita de produs, recomand"
"Telefon mobil Allview V10 Viper, 64GB, 4GB RAM, Dual SIM, Blue Mirror",https://www.flanco.ro/telefon-mobil-allview-v10-viper-64gb-4gb-ram-dual-sim-blue-mirror.html,Asa si asa,19.12.2023,2,"Putin cam slabut, mult lag , iasa din aplicatii , camere slabe , bun pentru cateva aplicatii de socializare si convorbiri."
"Telefon mobil Xiaomi Redmi 13C, 128GB, 4GB RAM, Dual SIM, Midnight Black",https://www.flanco.ro/telefon-mobil-xiaomi-redmi-13c-128gb-4gb-ram-dual-sim-midnight-black.html,Marton,21.08.2024,4,Am o intrebare are NFC telefonul
"Telefon mobil Xiaomi Redmi 13C, 128GB, 4GB RAM, Dual SIM, Midnight Black",https://www.flanco.ro/telefon-mobil-xiaomi-redmi-13c-128gb-4gb-ram-dual-sim-midnight-black.html,Istrate Gabriel,27.01.2024,5,"Foarte bun telefonul,rezervare si livrare prompta din magazin, felicitari Flanco."
"Telefon mobil Samsung Galaxy S24, 256GB, 8GB, Dual SIM, Marble Gray",https://www.flanco.ro/telefon-mobil-samsung-galaxy-s24-256gb-8gb-dual-sim-marble-gray.html,Luca sorana,18.05.2024,1,"Am achizitionat acest telefon in urma cu aprox 10 zile insa sunt dezamagita. Se incalzeste chiar cand navighez pe facebook si atat.. se incalzeste si pierde f multa baterie atunci cand faci fotografii.. nu am mai patit cu nici un telefon sa se incalzeasca cand faci poze.. fara filtre, fara aplicatii instalate.. pur si simplu fotografiam niste catei. Sincer, nu m-am asteptat..."
"Laptop ASUS Chromebook Plus CX34 CX3402CBA-PQ0457, Intel Core i3-1215U, 14inch, RAM 8GB, UFS 128GB, Intel UHD Graphics, Chrome OS, Rocky Grey",https://www.flanco.ro/laptop-asus-chromebook-plus-cx34-cx3402cba-pq0457-intel-core-i3-1215u-14inch-ram-8gb-ufs-128gb-intel-uhd-graphics-chrome-os-rocky-grey.html,Margareta,26.03.2025,5,"Sunt multumita si pretul este foarte bun.
La scoala ii este de ajuns fetitei pentru gimnaziu."
"Laptop ASUS Chromebook Plus CX34 CX3402CBA-PQ0457, Intel Core i3-1215U, 14inch, RAM 8GB, UFS 128GB, Intel UHD Graphics, Chrome OS, Rocky Grey",https://www.flanco.ro/laptop-asus-chromebook-plus-cx34-cx3402cba-pq0457-intel-core-i3-1215u-14inch-ram-8gb-ufs-128gb-intel-uhd-graphics-chrome-os-rocky-grey.html,Maria Gabi,22.02.2025,5,"Este foarte folositor la scoala.
Il recomand pentru scoala si jocuri educative, are un pret foarte bun."
